Empreendimento,Endereço,Região,Informações,Status Obra
Brooklin,"Rua Georgia, 65",Brooklin,2 e 3 dorms,Em breve
MAC Vila Mariana,"Rua Neto de Araújo, 156",Vila Mariana,1 a 3 dorms.,Em breve
MAC Pinheiros,"Rua Alves Guimarães, 89",Pinheiros,"1, 2 ou 3 dorms",Em Obras
Ateliê 365,"Rua Nova York, 365",Brooklin,151 e 194m²,Em Obras
MAC Ibirapuera,"Av Ibirapuera, 2545",Moema,"Studio, 1, 2 e 3 dorms.",Lançamento
MAC Campo Belo,"Rua Constantino de Sousa, 308",Campo Belo,2 e 3 Dorms.,Lançamento
Máden Vila Madalena,"Rua José Augusto Penteado, 70",Vila Madalena,2 e 3 dorms. com suíte,Em Obras
Máden Vila Madalena – Studios,"Rua Cayowaá, 2284",Vila Madalena,23 a 33m²,Em Obras
Írio Golf Garden,"Av. Nossa Senhora do Sabará, 409",Jardim Marajoara,2 e 3 dorms. com suíte,Em Obras
IS Vila Buarque,"Rua Rego Freitas, 62",Vila Buarque,"Studio, 1 e 2 dorms.",Pronto para Morar
Green Loadd Saúde,"Av. Jabaquara, 1744",Saúde,"Studios, 1 e 2 dorms.",Pronto para Morar
IS Perdizes,"Rua Ministro de Godói, 956",Perdizes,Studios,Pronto para Morar
Raiz São Paulo Parque Resort,"Rua Pereira Barreto, 159",Santo Amaro,2 a 4 dorms.,Pronto para Morar
Contemp Vila Mariana,"Rua Conde de Irajá, 233",Vila Mariana,4 dorms. ou 3 suítes,Pronto para Morar
IS Consolação,"Rua Major Sertório, 423",Consolação,"Studios, 1 ou 2 dorms.",Pronto para Morar
Conviva Parque São Domingos,"Rua Prof. José Maria Calazans Nogueira, 232",Parque São Domingos,2 ou 3 dorms.,Pronto para Morar
Estilo Chácara Santo Antônio – Residence,"Rua do Estilo Barroco, 422",Chácara Santo Antônio,2 e 3 dorms.,Pronto para Morar
Estilo Chácara Santo Antônio – Studios,"Av. Santo Amaro, 5762",Chácara Santo Antônio,Studios,Pronto para Morar
Lounge 71,"Rua Potenji, 71",Vila Mariana,2 dorms. com suíte,Pronto para Morar
Loadd,"Avenida Jabaquara, 2461",São Judas,"Studios, 2 dorms.",Pronto para Morar
IS Moema,"Av. dos Carinás, 301",Moema,Studios,Pronto para Morar
Station Offices,"Rua Pereira Estéfano, 114",Saúde,Salas Comerciais,Pronto para Uso
Amistá Bosque e Lazer,"Av. Dom Jaime de Barros Câmara, 670",São Bernardo do Campo,2 e 3 dorms.,Pronto para Morar
IS Liberdade,"Rua Conselheiro Furtado, 130",Liberdade,Studios,Pronto para Morar
Cosmopolitan Santa Cecília,"Avenida São João, 1723",Santa Cecília,"Studios, 1 dorm.",Pronto para Morar
Cosmopolitan Higienópolis,"Rua Olimpia de Almeida Prado, 27",Higienópolis,"Studios, 1 dorm.",Pronto para Morar
Varanda Botanic,"Avenida Miguel Estéfano, 2.800",Vila da Saúde,1 dorm. com suíte,Pronto para Morar
Host Paraíso,"Rua Artur Prado, 433",Paraíso,"Studios, 1 e 2 dorms.",Pronto para Morar
New Residence Ipiranga,"Rua Mil Oitocentos e Vinte e Dois, 895",Ipiranga,1 ou 2 dorms.,Pronto para Morar
Now Studios Ipiranga,"Rua 2 de Julho, 740",Ipiranga,Studios e 1 dorm.,Pronto para Morar
Piazza Suprema,"Praça Visconde de Sousa Fontes, 302",Mooca,4 dorms.,Pronto para Morar
Michigan Residence Park,"Av. Dr. Mario Vilas Boas Rodrigues, 161",Santo Amaro,3 e 4 dorms.,Pronto para Morar
Família Ipiranga,"Rua Cipriano Barata, 926",Ipiranga,3 dorms.,Pronto para Morar
Califórnia Novamérica Collection,"Av. Mário Lopes Leão, 1350",Santo Amaro,2 e 3 dorms.,Pronto para Morar
Boulevard Lapa,"Rua Campos Vergueiro,  275",Lapa,2 ou 3 dorms. com 1 suíte,Pronto para Morar
NovAmérica Flórida Residence Park,"Rua Adele, 119",Santo Amaro,3 e 4 dorms.,Pronto para Morar
Varanda Novamérica,"Av. Dr. Mario Vilas Boas Rodrigues, 175",Santo Amaro,2 e 3 dorms.,Pronto para Morar
NovAmérica Colorado Residence Park,"R. Adele, 95",Santo Amaro,2 e 3 dorms.,Pronto para Morar
Passeio do Bosque,"Av. Otacílio Tomanik, 350",Butantã,"1, 2 ou 3 dorms. com 1 suíte",Pronto para Morar
Cosmopolitan High Garden,"Avenida Santo Amaro, 3131",Brooklin,"Studio, 1 e 2 dorms.",Pronto para Morar
Now Alto da Boa Vista,"Rua Coronel Luis Barroso, 582",Santo Amaro,"Studios,1 dorm. com suíte",Pronto para Morar
NovAmérica Office Park,"Av. Mário Lopes Leão, 1500",Santo Amaro,Salas Comerciais,Pronto para Uso
Escritórios Santana,"Rua Dr. Cesar, 1370",Santana,Salas Comerciais,Pronto para Uso
Vintage,"Rua Periquito, 210",Moema,4 dorms.,Pronto para Morar
New Station,"Avenida Onze de Junho, 1070",Vila Clementino,Salas Comerciais,Pronto para Uso
Domani Parque,"Rua Periquito, 225",Moema,4 dorms.,Pronto para Morar
Domani Moema,"Av. Pavão, 211",Moema,4 dorms.,Pronto para Morar
Evidence Ponta Negra,"Av. Coronel Teixeira, 8197",Ponta Negra,3 e 4 dorms.,Pronto para Morar
Villa Varanda,"Rua Professor Sousa Barros, 265",São Judas,"Studios,1 e 2 dorms.",Pronto para Morar
Europa,"Rua Jerônimo da Veiga, 258",Itaim Bibi,4 suítes,Pronto para Morar
Class Varanda,"Rua Gonçalo da Cunha, 183",Vila Mariana,2 e 3 dorms.,Pronto para Morar
Ares do Parque,"Rua Baturité, 120",Aclimação,4 dorms.,Pronto para Morar
Amistá Special Resort,"R. Eng. Guilherme Cristiano Frender, 1275",Aricanduva,2 e 3 dorms.,Pronto para Morar
Avanti Vida,"Rua Pascoal Ranieri Mazzilli, 233",Parque São Lucas,2 e 3 dorms.,Pronto para Morar
Avanti Guarulhos,"Rua Claudino Barbosa, 492",Guarulhos,2 e 3 dorms.,Pronto para Morar
Novo Jardim VIP,"Rua Vitória Régia, 1300",Santo André,3 e 4 dorms.,Pronto para Morar
Gallery Offices,"Rua Santa Cruz, 710",Vila Mariana,Salas Comerciais,Pronto para Uso
Meridiano Top Clube,"Rua Santo Irineu, 307",Chácara Inglesa,3 dorms.,Pronto para Morar
Estilo Jardins,"Rua Arruda Alvim, 94",Pinheiros,Studios e 1 dorm.,Pronto para Morar
Apogeo Chácara Klabin,"Rua Dionísio da Costa, 47",Chácara Klabin,4 dorms.,Pronto para Morar
Vereda Paraíso,"R. Martiniano de Carvalho, 836",Bela Vista,4 dorms.,Pronto para Morar
Domínio Marajoara,"Av. Interlagos, 800",Jardim Marajoara,3 e 4 dorms.,Pronto para Morar
Nova Klabin,"Rua Nova Louzã, 52",Ipiranga,3 ou 4 dorms. com 2 suítes,Pronto para Morar
Ventura Santo André,"Av. Padre Anchieta, 252",Santo André,"2 ou 4 dorms. 1, 2 ou 3 suítes",Pronto para Morar
Varanda Pompéia,"Rua Joaquim Ferreira, 124",Pompéia,2 e 3 dorms.,Pronto para Morar
Vila D’Este,"Rua Bahia, 1135",Consolação,4 dorms.,Pronto para Morar
The Ritz,"Rua Bagé, 100",Vila Mariana,4 dorms.,Pronto para Morar
The Point Lorena,"Alameda Lorena, 427",Jardim Paulista,Salas Comerciais,Pronto para Uso
The Point,"Rua Padre João Manuel, 222",Cerqueira César,Salas Comerciais,Pronto para Uso
Viva Jardim do Golf,"Av. Engenheiro Eusébio Stevaux, 2461",Jurubatuba,3 e 4 dorms.,Pronto para Morar
Cristall Parque da Aclimação,"Rua Baturité, 200",Aclimação,3 ou 4 suítes,Pronto para Morar
The Buckingham Palace,"Rua Dr. Melo Alves, 717",Cerqueira César,4 dorms.,Pronto para Morar
Parc Promenade,"Alameda dos Arapanés, 982",Moema,4 dorms.,Pronto para Morar
